symbol,name,sector,market_cap,date_of_listing
SIEMENS.NS,Siemens Limited,Industrials,1174453616640,1999-01-04 03:45:00+00:00
PATANJALI.NS,Patanjali Foods Limited,Consumer Defensive,617314779136,2002-07-01 03:45:00+00:00
AXISBANK.NS,Axis Bank Limited,Financial Services,3985022124032,1998-11-27 03:45:00+00:00
LT.NS,Larsen & Toubro Limited,Industrials,5631628541952,2002-07-01 03:45:00+00:00
SOLARINDS.NS,Solar Industries India Limited,Basic Materials,1205960966144,2006-04-03 03:45:00+00:00
WAAREEENER.NS,WAAREE ENERGIES LIMITED,Technology,927641894912,2024-10-28 03:45:00+00:00
PIDILITIND.NS,Pidilite Industries Limited,Basic Materials,1496039686144,2002-07-01 03:45:00+00:00
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,Financial Services,1256929624064,2002-08-12 03:45:00+00:00
PIIND.NS,PI Industries Limited,Basic Materials,520721334272,2011-06-15 03:45:00+00:00
TVSMOTOR.NS,TVS Motor Company Limited,Consumer Cyclical,1665493630976,2000-08-02 03:45:00+00:00
ICICIGI.NS,ICICI Lombard General Insurance Company Limited,Financial Services,985635225600,2017-09-27 03:45:00+00:00
APLAPOLLO.NS,APL Apollo Tubes Limited,Basic Materials,479453642752,2011-12-14 03:45:00+00:00
COALINDIA.NS,Coal India Limited,Energy,2325505638400,2010-11-04 03:45:00+00:00
HDFCLIFE.NS,HDFC Life Insurance Company Limited,Financial Services,1679000207360,2017-11-17 03:45:00+00:00
LICI.NS,Life Insurance Corporation of India,Financial Services,5690916601856,2022-05-17 03:45:00+00:00
ABB.NS,ABB India Limited,Industrials,1104818077696,2002-07-01 03:45:00+00:00
HAL.NS,Hindustan Aeronautics Limited,Industrials,2983605567488,2018-04-02 03:45:00+00:00
ADANIGREEN.NS,Adani Green Energy Limited,Utilities,1694944329728,2018-06-18 03:45:00+00:00
SUPREMEIND.NS,The Supreme Industries Limited,Industrials,435028000768,2002-07-01 03:45:00+00:00
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Healthcare,4340876574720,1996-01-01 03:45:00+00:00
CONCOR.NS,Container Corporation of India Limited,Industrials,391660339200,2002-07-01 03:45:00+00:00
TORNTPOWER.NS,Torrent Power Limited,Utilities,663137091584,2006-11-28 03:45:00+00:00
DMART.NS,Avenue Supermarts Limited,Consumer Defensive,2602932109312,2017-03-21 03:45:00+00:00
BRITANNIA.NS,Britannia Industries Limited,Consumer Defensive,1407058313216,1996-01-02 03:45:00+00:00
JINDALSTEL.NS,Jindal Steel Limited,Basic Materials,1056902479872,1999-09-22 03:45:00+00:00
BIOCON.NS,Biocon Limited,Healthcare,531827523584,2004-04-07 03:45:00+00:00
SRF.NS,SRF Limited,Industrials,843002544128,2002-07-01 03:45:00+00:00
ALKEM.NS,Alkem Laboratories Limited,Healthcare,680504197120,2015-12-23 03:45:00+00:00
SUZLON.NS,Suzlon Energy Limited,Industrials,753879482368,2005-10-19 03:45:00+00:00
ATGL.NS,Adani Total Gas Limited,Utilities,663735369728,2018-11-05 03:30:00+00:00
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,12832077774848,2002-07-01 03:45:00+00:00
VOLTAS.NS,Voltas Limited,Consumer Cyclical,459631984640,2002-07-01 03:45:00+00:00
KEI.NS,KEI Industries Limited,Industrials,394985963520,2006-03-23 03:45:00+00:00
MFSL.NS,Max Financial Services Limited,Financial Services,597083095040,1996-01-01 03:45:00+00:00
TATAPOWER.NS,Tata Power Company Limited,Utilities,1253694504960,1996-01-01 03:45:00+00:00
IRFC.NS,Indian Railway Finance Corporation Limited,Financial Services,1539339321344,2021-01-29 03:45:00+00:00
SHREECEM.NS,Shree Cement Limited,Basic Materials,964895178752,2001-07-02 03:45:00+00:00
ITC.NS,ITC Limited,Consumer Defensive,5045960048640,1996-01-01 03:45:00+00:00
CGPOWER.NS,CG Power and Industrial Solutions Limited,Industrials,1069992837120,2002-07-01 03:45:00+00:00
BDL.NS,Bharat Dynamics Limited,Industrials,549183913984,2018-03-23 03:45:00+00:00
IREDA.NS,Indian Renewable Energy Development Agency Limited,Financial Services,403007307776,2023-11-29 03:45:00+00:00
HAVELLS.NS,Havells India Limited,Industrials,897347682304,2002-07-01 03:45:00+00:00
GRASIM.NS,Grasim Industries Limited,Basic Materials,1852658941952,2002-07-01 03:45:00+00:00
IRCTC.NS,Indian Railway Catering & Tourism Corporation Limited,Industrials,550119997440,2019-10-14 03:45:00+00:00
COLPAL.NS,Colgate-Palmolive (India) Limited,Consumer Defensive,590228094976,2002-07-01 03:45:00+00:00
NYKAA.NS,FSN E-Commerce Ventures Limited,Consumer Cyclical,757065777152,2021-11-10 03:45:00+00:00
JSWENERGY.NS,JSW Energy Limited,Utilities,850896158720,2010-01-04 03:45:00+00:00
DABUR.NS,Dabur India Limited,Consumer Defensive,918860136448,2002-07-01 03:45:00+00:00
ICICIBANK.NS,ICICI Bank Limited,Financial Services,9935838511104,2002-07-01 03:45:00+00:00
VMM.NS,VISHAL MEGA MART LIMITED,Consumer Cyclical,630874439680,2024-12-18 03:45:00+00:00
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,6424584257536,2002-07-01 03:45:00+00:00
RECLTD.NS,REC Limited,Financial Services,956504735744,2008-03-12 03:45:00+00:00
WIPRO.NS,Wipro Limited,Technology,2605664698368,1996-01-01 03:45:00+00:00
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,5750033743872,1996-01-01 03:45:00+00:00
KALYANKJIL.NS,Kalyan Jewellers India Limited,Consumer Cyclical,508689645568,2021-03-26 03:45:00+00:00
TECHM.NS,Tech Mahindra Limited,Technology,1336460574720,2006-08-28 03:45:00+00:00
COFORGE.NS,Coforge Limited,Technology,639016239104,2004-08-30 03:45:00+00:00
INDUSINDBK.NS,IndusInd Bank Limited,Financial Services,667745976320,2002-07-01 03:45:00+00:00
IGL.NS,Indraprastha Gas Limited,Utilities,277766766592,2003-12-26 03:45:00+00:00
TCS.NS,Tata Consultancy Services Limited,Technology,11324976267264,2002-08-12 03:45:00+00:00
PREMIERENE.NS,PREMIER ENERGIES LIMITED,Technology,443042988032,2024-09-03 03:45:00+00:00
M&M.NS,Mahindra & Mahindra Limited,Consumer Cyclical,4411370242048,1996-01-01 03:45:00+00:00
