symbol,name,sector,market_cap,date_of_listing
LOKESHMACH.NS,Lokesh Machines Limited,Industrials,3086098944.0,2006-05-05 03:45:00+00:00
LORDSCHLO.NS,Lords Chloro Alkali Limited,Basic Materials,4525179392.0,2023-08-28 03:45:00+00:00
LOTUSDEV.NS,SRI LOTUS DEVLPRS N RTY L,Industrials,82838667264.0,2025-08-06 03:45:00+00:00
LOTUSEYE.NS,Lotus Eye Hospital and Institute Limited,Healthcare,2247212032.0,2008-07-11 03:45:00+00:00
LOVABLE.NS,Lovable Lingerie Limited,Consumer Cyclical,1254892032.0,2011-03-24 03:45:00+00:00
LOYALTEX.NS,Loyal Textile Mills Limited,Consumer Cyclical,1127546624.0,2022-08-11 03:45:00+00:00
LPDC.NS,Landmark Property Development Company Limited,Real Estate,1086559616.0,2008-08-12 03:45:00+00:00
LT.NS,Larsen & Toubro Limited,Industrials,5621173714944.0,2002-07-01 03:45:00+00:00
LTF.NS,L&T Finance Limited,Financial Services,770677997568.0,2011-08-12 03:45:00+00:00
LTFOODS.NS,LT Foods Limited,Consumer Defensive,140793479168.0,2023-10-30 03:45:00+00:00
LTIM.NS,LTIMindtree Limited,Technology,1781206351872.0,2016-07-21 03:45:00+00:00
LTTS.NS,L&T Technology Services Limited,Technology,464714792960.0,2016-09-23 03:45:00+00:00
LUMAXIND.NS,Lumax Industries Limited,Consumer Cyclical,50477752320.0,2002-07-01 03:45:00+00:00
LUMAXTECH.NS,Lumax Auto Technologies Limited,Consumer Cyclical,102288359424.0,2007-01-16 03:45:00+00:00
LUPIN.NS,Lupin Limited,Healthcare,945765679104.0,2001-09-10 03:45:00+00:00
LUXIND.NS,Lux Industries Limited,Consumer Cyclical,36795707392.0,2015-12-01 03:45:00+00:00
LXCHEM.NS,Laxmi Organic Industries Limited,Basic Materials,50417418240.0,2021-03-25 03:45:00+00:00
LYKALABS.NS,Lyka Labs Limited,Healthcare,2887321088.0,1996-01-01 03:45:00+00:00
LYPSAGEMS.NS,Lypsa Gems & Jewellery Limited,Consumer Cyclical,155194208.0,2013-11-05 03:45:00+00:00
M&M.NS,Mahindra & Mahindra Limited,Consumer Cyclical,4420610818048.0,1996-01-01 03:45:00+00:00
M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,Financial Services,505599787008.0,2006-03-17 03:45:00+00:00
MAANALU.NS,Maan Aluminium Limited,Basic Materials,8100337664.0,2005-06-24 03:45:00+00:00
MACPOWER.NS,Macpower CNC Machines Limited,Industrials,9654514688.0,2018-03-22 03:45:00+00:00
MADHAV.NS,Madhav Marbles and Granites Limited,Industrials,384899936.0,2007-12-20 03:45:00+00:00
MADHUCON.NS,Madhucon Projects Limited,Industrials,457528640.0,2006-10-05 03:45:00+00:00
MADRASFERT.NS,Madras Fertilizers Limited,Basic Materials,12480517120.0,2002-07-01 03:45:00+00:00
MAGADSUGAR.NS,Magadh Sugar & Energy Limited,Consumer Defensive,6987334656.0,2017-07-28 03:45:00+00:00
MAGNUM.NS,Magnum Ventures Limited,Basic Materials,1848043776.0,2007-09-20 03:45:00+00:00
MAHABANK.NS,Bank of Maharashtra,Financial Services,457955180544.0,2004-04-12 03:45:00+00:00
